,a,b,c
0,0,0,0
1,0,0,5
2,0,0,10
3,0,0,15
4,0,0,20
5,0,0,25
6,0,0,30
7,0,0,35
8,0,0,40
9,0,0,45
10,0,0,50
11,0,0,55
12,0,0,60
13,0,0,65
14,0,0,70
15,0,0,75
16,0,0,80
17,0,0,85
18,0,0,90
19,0,0,95
20,0,0,100
21,0,5,0
22,0,5,5
23,0,5,10
24,0,5,15
25,0,5,20
26,0,5,25
27,0,5,30
28,0,5,35
29,0,5,40
30,0,5,45
31,0,5,50
32,0,5,55
33,0,5,60
34,0,5,65
35,0,5,70
36,0,5,75
37,0,5,80
38,0,5,85
39,0,5,90
40,0,5,95
41,0,5,100
42,0,10,0
43,0,10,5
44,0,10,10
45,0,10,15
46,0,10,20
47,0,10,25
48,0,10,30
49,0,10,35
50,0,10,40
51,0,10,45
52,0,10,50
53,0,10,55
54,0,10,60
55,0,10,65
56,0,10,70
57,0,10,75
58,0,10,80
59,0,10,85
60,0,10,90
61,0,10,95
62,0,10,100
63,0,15,0
64,0,15,5
65,0,15,10
66,0,15,15
67,0,15,20
68,0,15,25
69,0,15,30
70,0,15,35
71,0,15,40
72,0,15,45
73,0,15,50
74,0,15,55
75,0,15,60
76,0,15,65
77,0,15,70
78,0,15,75
79,0,15,80
80,0,15,85
81,0,15,90
82,0,15,95
83,0,15,100
84,0,20,0
85,0,20,5
86,0,20,10
87,0,20,15
88,0,20,20
89,0,20,25
90,0,20,30
91,0,20,35
92,0,20,40
93,0,20,45
94,0,20,50
95,0,20,55
96,0,20,60
97,0,20,65
98,0,20,70
99,0,20,75
100,0,20,80
101,0,20,85
102,0,20,90
103,0,20,95
104,0,20,100
105,0,25,0
106,0,25,5
107,0,25,10
108,0,25,15
109,0,25,20
110,0,25,25
111,0,25,30
112,0,25,35
113,0,25,40
114,0,25,45
115,0,25,50
116,0,25,55
117,0,25,60
118,0,25,65
119,0,25,70
120,0,25,75
121,0,25,80
122,0,25,85
123,0,25,90
124,0,25,95
125,0,25,100
126,0,30,0
127,0,30,5
128,0,30,10
129,0,30,15
130,0,30,20
131,0,30,25
132,0,30,30
133,0,30,35
134,0,30,40
135,0,30,45
136,0,30,50
137,0,30,55
138,0,30,60
139,0,30,65
140,0,30,70
141,0,30,75
142,0,30,80
143,0,30,85
144,0,30,90
145,0,30,95
146,0,30,100
147,0,35,0
148,0,35,5
149,0,35,10
150,0,35,15
151,0,35,20
152,0,35,25
153,0,35,30
154,0,35,35
155,0,35,40
156,0,35,45
157,0,35,50
158,0,35,55
159,0,35,60
160,0,35,65
161,0,35,70
162,0,35,75
163,0,35,80
164,0,35,85
165,0,35,90
